train_regime,test_regime,variant,event,rmse,mae,n
2013,2015,control,non_event,84.61050425842389,61.822418997426865,6924
2013,2015,treatment,hss_event,116.08209558343474,92.33071463923568,1836
2013,2015,treatment,non_event,85.12935330397578,63.12367002596268,6924
2013,2016,control,hss_event,106.33801616619692,84.35172049321811,3252
2013,2016,control,non_event,69.75951458474056,51.700260229750995,5377
2013,2016,treatment,hss_event,108.98653681353386,87.89792605842318,3252
2013,2016,treatment,non_event,69.48841975981614,51.65131410950286,5377
2013,2017,control,hss_event,127.65431122704817,107.00592064044763,3843
2013,2017,control,non_event,68.32342264211178,48.051396752994236,4917
2013,2017,treatment,hss_event,132.89549391702377,112.55107197301201,3843
2013,2017,treatment,non_event,70.84926921603157,49.62439244138242,4917
2013,2018,control,hss_event,81.29384252650884,65.06252505426515,3251
2013,2018,control,non_event,53.87820016574611,41.415042397330645,5509
2013,2018,treatment,hss_event,89.21292522646237,71.48210878586336,3251
2013,2018,treatment,non_event,51.14680915433245,38.37423495550427,5509
2013,2019,control,hss_event,92.32483550349602,71.77946879591349,3116
2013,2019,control,non_event,45.547497955897825,35.077011789690935,5644
2013,2019,treatment,hss_event,94.92372253726337,73.39662843246361,3116
2013,2019,treatment,non_event,45.51482487039294,34.988689457753466,5644
2013,2020,control,hss_event,100.69651678484222,79.56583158710625,2998
2013,2020,control,non_event,45.11820923933686,37.630527632153246,5786
2013,2020,treatment,hss_event,97.21627992553795,74.82225898808841,2998
2013,2020,treatment,non_event,48.696506162677544,41.46933511364143,5786
2014,2010,control,hss_event,114.28979578724307,92.67615664200044,1775
2014,2010,control,non_event,62.92442908893676,51.33399546157033,3361
2014,2010,treatment,hss_event,114.78772499184483,92.88999561578456,1775
2014,2010,treatment,non_event,66.22047601365848,55.97195420042456,3361
2014,2011,control,hss_event,111.3008809106057,86.13960459862483,1835
2014,2011,control,non_event,82.21405527689325,61.90845208233444,6925
2014,2011,treatment,hss_event,118.39396591077276,93.36822400002129,1835
2014,2011,treatment,non_event,82.72288928455761,61.92071717410311,6925
2014,2012,control,hss_event,91.1619680478853,72.06535995249845,1568
2014,2012,control,non_event,81.13471652455588,60.85660617261662,7216
2014,2012,treatment,hss_event,97.1784359241635,76.52249365436788,1568
